Carl Fredricksen;20639594719;1931-09-04;4353,00;419,83;248,83;3684,34
Russel;36835533757;2012-06-13;SOBRINHO

Beto Pêra;51405909722;1983-06-26;7800,00;992,21;1002,78;5805,01
Violeta Pêra;35494491781;2008-10-03;FILHO
Flecha Perâ;16816041755;2010-02-15;FILHO
Zezé Pêra;16558665751;2021-05-07;FILHO

Marlin;52706066741;1975-05-24;7000,00;600,82;890,41;5508,77
Nemo;15433806707;2222-02-02;FILHO
Dory;61432166735;2222-02-02;SOBRINHO

James P. Sullivan;59572889770;1997-11-05;7000,00;790,41;838,28;5371,31
Boo;83979027759;2020-04-24;SOBRINHO

Mike Wazowski;12804489701;1998-01-27;2500,00;300,00;22,20;2177,80

